status,code,name,color,price,vin,dealership
in transit,?, 2016 Subaru WRX Sedan,Crystal Black Silica,"$27,630",?,temecula.subaru
in transit,?, 2016 Subaru WRX Sedan,ICE Silver,"$27,630",?,temecula.subaru
in transit,?, 2016 Subaru WRX Sedan,ICE Silver,"$27,630",?,temecula.subaru
in transit,?, 2016 Subaru WRX Sedan,Lapis Blue Pearl,"$27,630",?,temecula.subaru
in transit,?, 2016 Subaru WRX Sedan,Dark Gray,"$27,886",?,kirby-ventura.subaru
in transit,?, 2016 Subaru WRX Sedan,ICE Silver,"$27,886",?,kirby-ventura.subaru
in transit,?, 2016 Subaru WRX Sedan,WR Blue Pearl,"$27,886",?,kirby-ventura.subaru
in transit,?, 2016 Subaru WRX Premium (M6) Sedan,Crystal White Pearl,"$29,852",?,temecula.subaru
in transit,?, 2016 Subaru WRX Premium (M6) Sedan,Crystal Black Silica,"$30,186",?,kirby-ventura.subaru
in transit,?, 2016 Subaru WRX Premium (M6) Sedan,ICE Silver,"$30,186",?,kirby-ventura.subaru
in transit,?, 2016 Subaru WRX Premium (CVT) Sedan,Dark Gray,"$31,130",?,temecula.subaru
in transit,?, 2016 Subaru WRX Premium (CVT) Sedan,ICE Silver,"$31,130",?,temecula.subaru
in transit,?, 2016 Subaru WRX Premium (CVT) Sedan,Lapis Blue Pearl,"$31,130",?,temecula.subaru
in transit,?, 2016 Subaru WRX Limited Sedan,Crystal White Pearl,"$31,352",?,temecula.subaru
in transit,?, 2016 Subaru WRX Premium (CVT) Sedan,Dark Gray,"$31,386",?,kirby-ventura.subaru
in transit,?, 2016 Subaru WRX Limited Sedan,Lapis Blue Pearl,"$31,686",?,kirby-ventura.subaru
in transit,?, 2016 Subaru WRX Limited Sedan,WR Blue Pearl,"$31,686",?,kirby-ventura.subaru
in transit,?, 2016 Subaru WRX Premium w/ Nav+Audi w/ Harmon Kardon Sedan,Crystal Black Silica,"$32,030",?,temecula.subaru
in transit,?, 2016 Subaru WRX Limited Sedan,ICE Silver,"$32,630",?,temecula.subaru
in transit,?, 2016 Subaru WRX Limited Sedan,ICE Silver,"$32,630",?,temecula.subaru
in transit,?, 2016 Subaru WRX Limited Sedan,ICE Silver,"$32,886",?,kirby-ventura.subaru
in transit,?, 2016 Subaru WRX Limited Sedan,WR Blue Pearl,"$32,886",?,kirby-ventura.subaru
